date,total_orders,total_revenue,total_items_sold,avg_order_value,completed_orders
2024-09-08,16,13449.01,61,840.56,8
2024-09-09,9,15724.560000000001,53,1747.17,5
2024-09-10,9,5964.13,22,662.68,8
2024-09-11,12,19840.89,56,1653.41,6
2024-09-12,15,9555.5,50,637.03,14
2024-09-13,15,19169.2,67,1277.95,10
2024-09-14,5,4405.23,21,881.05,3
2024-09-15,8,2527.22,24,315.9,5
2024-09-16,11,3779.74,27,343.61,10
2024-09-17,14,11220.49,48,801.46,10
2024-09-18,10,7282.740000000001,25,728.27,8
2024-09-19,12,12937.640000000001,47,1078.14,10
2024-09-20,13,13173.03,38,1013.31,10
2024-09-21,10,4742.09,24,474.21,3
2024-09-22,15,11078.25,66,738.55,8
2024-09-23,12,6259.889999999999,36,521.66,6
2024-09-24,11,5506.15,55,500.56,6
2024-09-25,12,12163.51,42,1013.63,9
2024-09-26,9,3297.37,24,366.37,7
2024-09-27,12,4058.19,34,338.18,10
2024-09-28,6,1153.43,19,192.24,3
2024-09-29,5,3778.78,26,755.76,3
2024-09-30,11,6511.45,28,591.95,5
2024-10-01,9,10513.43,37,1168.16,5
2024-10-02,10,4026.6600000000003,25,402.67,6
2024-10-03,14,10841.53,46,774.4,4
2024-10-04,16,8621.41,39,538.84,10
2024-10-05,7,2782.46,32,397.49,6
2024-10-06,11,11805.470000000001,50,1073.22,7
2024-10-07,14,9544.31,47,681.74,13
2024-10-08,8,5042.23,20,630.28,5
2024-10-09,10,6635.62,27,663.56,8
2024-10-10,11,4527.24,28,411.57,6
2024-10-11,5,6784.0599999999995,15,1356.81,3
2024-10-12,11,7694.29,37,699.48,10
2024-10-13,11,9881.66,37,898.33,8
2024-10-14,11,8570.42,40,779.13,8
2024-10-15,15,16564.67,75,1104.31,12
2024-10-16,10,6727.0599999999995,36,672.71,9
2024-10-17,10,22651.8,68,2265.18,8
2024-10-18,15,8383.15,39,558.88,11
2024-10-19,7,4291.66,28,613.09,5
2024-10-20,12,9581.3,45,798.44,7
2024-10-21,10,6470.86,41,647.09,7
2024-10-22,16,7154.17,44,447.14,7
2024-10-23,11,4617.05,31,419.73,9
2024-10-24,12,9935.22,43,827.94,9
2024-10-25,14,9151.76,65,653.7,10
2024-10-26,11,22347.02,63,2031.55,9
2024-10-27,14,12661.51,42,904.39,10
2024-10-28,7,2572.0,23,367.43,3
2024-10-29,11,14217.2,40,1292.47,10
2024-10-30,8,7889.620000000001,23,986.2,6
2024-10-31,16,14383.2,64,898.95,8
2024-11-01,12,4861.65,34,405.14,8
2024-11-02,14,11164.83,32,797.49,9
2024-11-03,11,11735.9,47,1066.9,7
2024-11-04,15,4860.1,43,324.01,10
2024-11-05,17,15497.720000000001,84,911.63,14
2024-11-06,20,24238.39,98,1211.92,15
2024-11-07,19,18304.17,54,963.38,13
2024-11-08,11,6563.94,35,596.72,8
2024-11-09,10,4721.08,27,472.11,7
2024-11-10,11,9526.33,41,866.03,9
2024-11-11,8,5256.52,20,657.06,7
2024-11-12,12,10838.05,43,903.17,8
2024-11-13,9,2510.14,26,278.9,4
2024-11-14,7,6643.14,35,949.02,5
2024-11-15,8,9647.140000000001,48,1205.89,4
2024-11-16,10,5963.34,25,596.33,8
2024-11-17,13,9245.44,42,711.19,11
2024-11-18,12,11934.13,62,994.51,7
2024-11-19,13,5057.2300000000005,51,389.02,8
2024-11-20,13,6918.58,43,532.2,10
2024-11-21,12,5602.11,35,466.84,8
2024-11-22,13,14952.82,55,1150.22,8
2024-11-23,8,2093.98,12,261.75,5
2024-11-24,4,5795.41,18,1448.85,3
2024-11-25,18,17368.93,74,964.94,15
2024-11-26,9,4434.889999999999,31,492.77,7
2024-11-27,12,9990.83,37,832.57,11
2024-11-28,17,14579.08,57,857.59,10
2024-11-29,9,7020.64,35,780.07,7
2024-11-30,10,6172.99,23,617.3,9
2024-12-01,12,13198.33,50,1099.86,7
2024-12-02,17,17199.77,70,1011.75,12
2024-12-03,13,6614.98,42,508.84,9
2024-12-04,11,14993.81,38,1363.07,6
2024-12-05,14,12971.64,59,926.55,12
2024-12-06,9,9822.94,37,1091.44,7
2024-12-07,10,7269.17,37,726.92,6
2024-12-08,10,6320.78,40,632.08,8
2024-12-09,13,12616.869999999999,51,970.53,6
2024-12-10,12,9080.73,42,756.73,7
2024-12-11,14,6840.63,59,488.62,11
2024-12-12,12,4218.09,36,351.51,8
2024-12-13,16,11496.03,57,718.5,12
2024-12-14,15,16497.16,56,1099.81,10
2024-12-15,12,11046.06,43,920.5,7
2024-12-16,9,11064.67,49,1229.41,8
2024-12-17,8,5705.82,43,713.23,7
2024-12-18,12,6538.4400000000005,29,544.87,6
2024-12-19,13,10949.9,56,842.3,6
2024-12-20,8,2525.16,18,315.64,5
2024-12-21,7,6191.02,33,884.43,5
2024-12-22,15,11172.36,64,744.82,10
2024-12-23,11,8122.87,44,738.44,9
2024-12-24,7,2987.9300000000003,25,426.85,6
2024-12-25,13,10172.4,28,782.49,9
2024-12-26,8,6008.38,37,751.05,7
2024-12-27,16,11767.25,61,735.45,8
2024-12-28,9,2719.29,26,302.14,8
2024-12-29,16,7241.25,40,452.58,10
2024-12-30,13,6444.73,33,495.75,6
2024-12-31,13,9789.22,56,753.02,11
2025-01-01,10,5214.46,33,521.45,6
2025-01-02,11,6723.24,32,611.2,10
2025-01-03,8,7683.8099999999995,30,960.48,5
2025-01-04,8,8487.95,23,1060.99,6
2025-01-05,8,4625.54,29,578.19,7
2025-01-06,14,11010.68,73,786.48,13
2025-01-07,8,5696.27,22,712.03,6
2025-01-08,13,14481.67,59,1113.97,8
2025-01-09,16,17167.219999999998,59,1072.95,12
2025-01-10,9,6536.82,28,726.31,8
2025-01-11,12,10637.99,43,886.5,9
2025-01-12,9,4861.4800000000005,32,540.16,8
2025-01-13,9,7021.78,31,780.2,8
2025-01-14,14,18234.62,57,1302.47,11
2025-01-15,13,13241.230000000001,48,1018.56,11
2025-01-16,12,7917.7,43,659.81,10
2025-01-17,10,8396.289999999999,36,839.63,8
2025-01-18,12,9714.64,40,809.55,8
2025-01-19,7,7577.45,35,1082.49,5
2025-01-20,16,8115.61,41,507.23,11
2025-01-21,14,10796.55,44,771.18,9
2025-01-22,11,10073.43,49,915.77,7
2025-01-23,11,11737.869999999999,43,1067.08,8
2025-01-24,9,10476.48,36,1164.05,5
2025-01-25,11,8088.6,39,735.33,9
2025-01-26,12,5789.81,35,482.48,8
2025-01-27,10,10381.07,23,1038.11,8
2025-01-28,13,9644.55,53,741.89,10
2025-01-29,19,11939.23,55,628.38,11
2025-01-30,10,2963.57,28,296.36,6
2025-01-31,5,1382.16,12,276.43,4
2025-02-01,12,7039.179999999999,43,586.6,6
2025-02-02,12,6858.99,26,571.58,9
2025-02-03,11,13454.58,44,1223.14,9
2025-02-04,8,13637.039999999999,45,1704.63,4
2025-02-05,11,8570.85,46,779.17,7
2025-02-06,9,11928.97,42,1325.44,5
2025-02-07,10,4324.75,38,432.48,4
2025-02-08,6,3679.63,20,613.27,5
2025-02-09,19,12885.91,58,678.21,12
2025-02-10,10,12539.73,52,1253.97,7
2025-02-11,10,10072.51,40,1007.25,3
2025-02-12,12,11855.269999999999,39,987.94,9
2025-02-13,7,5439.63,32,777.09,6
2025-02-14,12,6683.47,42,556.96,9
2025-02-15,7,4703.57,20,671.94,5
2025-02-16,8,4980.14,22,622.52,6
2025-02-17,11,9180.050000000001,54,834.55,3
2025-02-18,11,5075.43,38,461.4,6
2025-02-19,9,7705.3099999999995,37,856.15,5
2025-02-20,14,9039.6,42,645.69,10
2025-02-21,9,8653.65,46,961.52,5
2025-02-22,8,6430.93,34,803.87,4
2025-02-23,12,12277.77,46,1023.15,7
2025-02-24,10,5702.73,31,570.27,5
2025-02-25,9,6357.83,40,706.43,7
2025-02-26,15,10703.130000000001,43,713.54,10
2025-02-27,14,23719.93,74,1694.28,9
2025-02-28,9,8629.289999999999,44,958.81,6
2025-03-01,9,7987.67,28,887.52,5
2025-03-02,10,5415.6,25,541.56,7
2025-03-03,11,8433.199999999999,29,766.65,9
2025-03-04,11,15615.48,52,1419.59,9
2025-03-05,13,9889.130000000001,47,760.7,13
2025-03-06,5,4438.77,17,887.75,3
2025-03-07,9,2728.98,22,303.22,6
2025-03-08,12,4855.5,25,404.62,12
2025-03-09,10,6481.64,41,648.16,7
2025-03-10,11,4483.33,26,407.58,10
2025-03-11,11,14893.95,54,1354.0,8
2025-03-12,16,11802.51,65,737.66,12
2025-03-13,8,6296.860000000001,29,787.11,6
2025-03-14,13,11230.89,57,863.91,10
2025-03-15,14,12041.81,59,860.13,9
2025-03-16,11,9584.4,54,871.31,7
2025-03-17,7,3633.67,21,519.1,4
2025-03-18,12,12644.199999999999,52,1053.68,8
2025-03-19,15,14025.630000000001,52,935.04,13
2025-03-20,8,6006.4400000000005,23,750.8,3
2025-03-21,14,22136.1,73,1581.15,8
2025-03-22,12,13032.44,63,1086.04,8
2025-03-23,12,4438.18,34,369.85,10
2025-03-24,9,7540.01,35,837.78,5
2025-03-25,18,21309.64,78,1183.87,13
2025-03-26,15,8229.3,35,548.62,8
2025-03-27,14,10668.970000000001,46,762.07,11
2025-03-28,7,9748.45,29,1392.64,7
2025-03-29,11,6899.2300000000005,39,627.2,9
2025-03-30,10,9047.69,35,904.77,8
2025-03-31,13,9370.36,61,720.8,8
2025-04-01,13,13292.95,54,1022.53,8
2025-04-02,5,1010.96,10,202.19,4
2025-04-03,9,13113.56,52,1457.06,9
2025-04-04,9,3489.15,29,387.68,6
2025-04-05,12,9838.78,41,819.9,7
2025-04-06,20,14689.99,76,734.5,17
2025-04-07,15,10988.74,47,732.58,11
2025-04-08,12,4418.25,27,368.19,10
2025-04-09,10,4593.62,31,459.36,8
2025-04-10,10,8706.23,39,870.62,7
2025-04-11,8,2983.98,19,373.0,8
2025-04-12,14,10445.689999999999,41,746.12,12
2025-04-13,10,8443.91,35,844.39,8
2025-04-14,9,8292.0,21,921.33,6
2025-04-15,11,4791.16,27,435.56,8
2025-04-16,13,15151.72,46,1165.52,8
2025-04-17,6,2347.73,24,391.29,4
2025-04-18,7,5538.95,27,791.28,2
2025-04-19,11,7730.95,42,702.81,10
2025-04-20,6,1652.24,16,275.37,4
2025-04-21,20,15928.94,66,796.45,11
2025-04-22,8,7575.99,37,947.0,7
2025-04-23,18,18224.74,69,1012.49,13
2025-04-24,6,6372.96,18,1062.16,5
2025-04-25,8,11181.26,36,1397.66,5
2025-04-26,8,3939.68,23,492.46,5
2025-04-27,10,11438.16,33,1143.82,7
2025-04-28,3,1971.25,9,657.08,3
2025-04-29,13,8404.17,37,646.47,8
2025-04-30,10,5539.87,34,553.99,7
2025-05-01,9,6788.22,39,754.25,6
2025-05-02,12,8086.860000000001,36,673.91,9
2025-05-03,7,4017.96,19,573.99,5
2025-05-04,15,6771.57,41,451.44,8
2025-05-05,13,11844.17,54,911.09,9
2025-05-06,8,3514.32,21,439.29,5
2025-05-07,12,13951.01,71,1162.58,7
2025-05-08,11,9266.0,49,842.36,7
2025-05-09,13,6886.14,42,529.7,8
2025-05-10,9,5808.139999999999,31,645.35,6
2025-05-11,12,9839.78,44,819.98,6
2025-05-12,4,1649.05,15,412.26,3
2025-05-13,7,5293.35,22,756.19,5
2025-05-14,8,1746.33,18,218.29,5
2025-05-15,11,14443.5,49,1313.05,9
2025-05-16,11,4524.82,32,411.35,8
2025-05-17,14,17060.239999999998,57,1218.59,13
2025-05-18,12,12265.87,48,1022.16,10
2025-05-19,6,1337.17,11,222.86,4
2025-05-20,8,6633.5,38,829.19,6
2025-05-21,12,9814.11,46,817.84,8
2025-05-22,15,11165.06,45,744.34,10
2025-05-23,14,10360.11,44,740.01,11
2025-05-24,6,3085.89,14,514.31,5
2025-05-25,13,16497.96,54,1269.07,11
2025-05-26,8,3032.8199999999997,21,379.1,7
2025-05-27,10,8652.65,38,865.26,6
2025-05-28,10,5896.96,35,589.7,7
2025-05-29,13,8034.139999999999,50,618.01,10
2025-05-30,9,4634.52,35,514.95,6
2025-05-31,7,4041.41,19,577.34,4
2025-06-01,11,6905.32,31,627.76,8
2025-06-02,8,4359.41,20,544.93,4
2025-06-03,7,3840.46,20,548.64,6
2025-06-04,13,10588.67,53,814.51,9
2025-06-05,9,6065.29,40,673.92,6
2025-06-06,12,5274.62,33,439.55,9
2025-06-07,12,13755.710000000001,51,1146.31,8
2025-06-08,15,16047.310000000001,72,1069.82,8
2025-06-09,10,8137.37,30,813.74,9
2025-06-10,11,14753.32,48,1341.21,9
2025-06-11,9,2733.06,26,303.67,6
2025-06-12,10,9360.25,42,936.02,6
2025-06-13,7,2961.12,18,423.02,4
2025-06-14,12,10274.7,40,856.22,7
2025-06-15,8,4202.86,21,525.36,6
2025-06-16,16,10490.43,60,655.65,9
2025-06-17,11,9498.55,41,863.5,8
2025-06-18,7,5163.5,21,737.64,5
2025-06-19,9,8436.65,33,937.41,6
2025-06-20,10,10389.3,26,1038.93,8
2025-06-21,10,6459.76,39,645.98,5
2025-06-22,11,12733.95,26,1157.63,9
2025-06-23,13,7619.53,46,586.12,11
2025-06-24,10,6388.75,33,638.88,7
2025-06-25,10,1984.29,20,198.43,9
2025-06-26,7,8639.14,35,1234.16,6
2025-06-27,9,5102.05,36,566.89,6
2025-06-28,6,3510.51,21,585.08,4
2025-06-29,8,9933.26,22,1241.66,5
2025-06-30,11,8107.33,27,737.03,8
